date	u	w
2007.09.01	4.0	302760.00
2007.10.01	4.0	305640.00
2007.11.01	3.7	327240.00
2007.12.01	3.5	717480.00
2008.01.01	3.9	311760.00
2008.02.01	4.1	304560.00
2008.03.01	4.1	318960.00
2008.04.01	4.1	311760.00
2008.05.01	4.0	307080.00
2008.06.01	3.9	572400.00
2008.07.01	3.8	436680.00
2008.08.01	4.1	309240.00
2008.09.01	4.1	299880.00
2008.10.01	3.8	302040.00
2008.11.01	3.9	321840.00
2008.12.01	4.1	704160.00
2009.01.01	4.2	299520.00
2009.02.01	4.6	294480.00
2009.03.01	5.1	302760.00
2009.04.01	5.2	300240.00
2009.05.01	5.2	298080.00
2009.06.01	5.2	515880.00
2009.07.01	5.4	407160.00
2009.08.01	5.4	300240.00
2009.09.01	5.5	294120.00
2009.10.01	5.2	297000.00
2009.11.01	5.0	311400.00
2009.12.01	4.8	656640.00
2010.01.01	4.9	299160.00
2010.02.01	5.0	291960.00
2010.03.01	5.3	307800.00
2010.04.01	5.4	307440.00
2010.05.01	5.2	298440.00
2010.06.01	5.2	530640.00
2010.07.01	5.0	415440.00
2010.08.01	5.1	301320.00
2010.09.01	5.1	297000.00
2010.10.01	5.0	298440.00
2010.11.01	4.8	312840.00
2010.12.01	4.6	659520.00
2011.01.01	4.8	302400.00
2011.02.01	4.6	294120.00
2011.03.01	4.9	307800.00
2011.04.01	5.0	301680.00
2011.05.01	4.7	302040.00
2011.06.01	4.7	527760.00
2011.07.01	4.7	419400.00
2011.08.01	4.5	299520.00
2011.09.01	4.2	296640.00
2011.10.01	4.4	299520.00
2011.11.01	4.3	312840.00
2011.12.01	4.2	665280.00
2012.01.01	4.5	298440.00
2012.02.01	4.4	295200.00
2012.03.01	4.7	312120.00
2012.04.01	4.8	304560.00
2012.05.01	4.5	299160.00
2012.06.01	4.4	525960.00
2012.07.01	4.4	411120.00
2012.08.01	4.2	300600.00
2012.09.01	4.2	295560.00
2012.10.01	4.1	297720.00
2012.11.01	4.0	307800.00
2012.12.01	4.0	653040.00
2013.01.01	4.2	300960.00
2013.02.01	4.2	293040.00
2013.03.01	4.3	308520.00
2013.04.01	4.4	304920.00
2013.05.01	4.2	299520.00
2013.06.01	3.9	533880.00
2013.07.01	3.9	409320.00
2013.08.01	4.1	299160.00
2013.09.01	3.9	295920.00
2013.10.01	4.0	298800.00
2013.11.01	3.8	312480.00
2013.12.01	3.4	658800.00
2014.01.01	3.7	300600.00
2014.02.01	3.6	293760.00
2014.03.01	3.8	312480.00
2014.04.01	3.9	308520.00
2014.05.01	3.6	302760.00
2014.06.01	3.7	545040.00
2014.07.01	3.8	425520.00
2014.08.01	3.5	303840.00
2014.09.01	3.5	299880.00
2014.10.01	3.5	300960.00
2014.11.01	3.3	314280.00
2014.12.01	3.2	672480.00
